iso_code	continent	location	date	total_cases	total_deaths
IND	Asia	India	1/23/2020	0	0
IND	Asia	India	1/24/2020	0	0
IND	Asia	India	1/25/2020	0	0
IND	Asia	India	1/26/2020	0	0
IND	Asia	India	1/27/2020	0	0
IND	Asia	India	1/28/2020	0	0
IND	Asia	India	1/29/2020	0	0
IND	Asia	India	1/30/2020	1	0
IND	Asia	India	1/31/2020	1	0
IND	Asia	India	2/1/2020	1	0
IND	Asia	India	2/2/2020	2	0
IND	Asia	India	2/3/2020	3	0
IND	Asia	India	2/4/2020	3	0
IND	Asia	India	2/5/2020	3	0
IND	Asia	India	2/6/2020	3	0
IND	Asia	India	2/7/2020	3	0
IND	Asia	India	2/8/2020	3	0
IND	Asia	India	2/9/2020	3	0
IND	Asia	India	2/10/2020	3	0
IND	Asia	India	2/11/2020	3	0
IND	Asia	India	2/12/2020	3	0
IND	Asia	India	2/13/2020	3	0
IND	Asia	India	2/14/2020	3	0
IND	Asia	India	2/15/2020	3	0
IND	Asia	India	2/16/2020	3	0
IND	Asia	India	2/17/2020	3	0
IND	Asia	India	2/18/2020	3	0
IND	Asia	India	2/19/2020	3	0
IND	Asia	India	2/20/2020	3	0
IND	Asia	India	2/21/2020	3	0
IND	Asia	India	2/22/2020	3	0
IND	Asia	India	2/23/2020	3	0
IND	Asia	India	2/24/2020	3	0
IND	Asia	India	2/25/2020	3	0
IND	Asia	India	2/26/2020	3	0
IND	Asia	India	2/27/2020	3	0
IND	Asia	India	2/28/2020	3	0
IND	Asia	India	2/29/2020	3	0
IND	Asia	India	3/1/2020	3	0
IND	Asia	India	3/2/2020	5	0
IND	Asia	India	3/3/2020	5	0
IND	Asia	India	3/4/2020	28	0
IND	Asia	India	3/5/2020	30	0
IND	Asia	India	3/6/2020	31	0
IND	Asia	India	3/7/2020	34	0
IND	Asia	India	3/8/2020	39	0
IND	Asia	India	3/9/2020	43	0
IND	Asia	India	3/10/2020	56	0
IND	Asia	India	3/11/2020	62	1
IND	Asia	India	3/12/2020	73	1
IND	Asia	India	3/13/2020	82	2
IND	Asia	India	3/14/2020	102	2
IND	Asia	India	3/15/2020	113	2
IND	Asia	India	3/16/2020	119	2
IND	Asia	India	3/17/2020	142	3
IND	Asia	India	3/18/2020	156	3
IND	Asia	India	3/19/2020	194	4
IND	Asia	India	3/20/2020	244	5
IND	Asia	India	3/21/2020	330	4
IND	Asia	India	3/22/2020	396	7
IND	Asia	India	3/23/2020	499	10
IND	Asia	India	3/24/2020	536	10
IND	Asia	India	3/25/2020	657	12
IND	Asia	India	3/26/2020	727	20
IND	Asia	India	3/27/2020	887	20
IND	Asia	India	3/28/2020	987	24
IND	Asia	India	3/29/2020	1024	27
IND	Asia	India	3/30/2020	1251	32
IND	Asia	India	3/31/2020	1397	35
IND	Asia	India	4/1/2020	1998	58
IND	Asia	India	4/2/2020	2543	72
IND	Asia	India	4/3/2020	2567	72
IND	Asia	India	4/4/2020	3082	86
IND	Asia	India	4/5/2020	3588	99
IND	Asia	India	4/6/2020	4778	136
IND	Asia	India	4/7/2020	5311	150
IND	Asia	India	4/8/2020	5916	178
IND	Asia	India	4/9/2020	6725	226
IND	Asia	India	4/10/2020	7598	246
IND	Asia	India	4/11/2020	8446	288
IND	Asia	India	4/12/2020	9205	331
IND	Asia	India	4/13/2020	10453	358
IND	Asia	India	4/14/2020	11487	393
IND	Asia	India	4/15/2020	12322	405
IND	Asia	India	4/16/2020	13430	448
IND	Asia	India	4/17/2020	14352	486
IND	Asia	India	4/18/2020	15722	521
IND	Asia	India	4/19/2020	17615	559
IND	Asia	India	4/20/2020	18539	592
IND	Asia	India	4/21/2020	20080	645
IND	Asia	India	4/22/2020	21370	681
IND	Asia	India	4/23/2020	23077	721
IND	Asia	India	4/24/2020	24530	780
IND	Asia	India	4/25/2020	26283	825
IND	Asia	India	4/26/2020	27890	881
IND	Asia	India	4/27/2020	29451	939
IND	Asia	India	4/28/2020	31324	1008
IND	Asia	India	4/29/2020	33062	1079
IND	Asia	India	4/30/2020	34863	1154
IND	Asia	India	5/1/2020	37257	1223
IND	Asia	India	5/2/2020	39699	1323
IND	Asia	India	5/3/2020	42505	1391
IND	Asia	India	5/4/2020	46437	1566
IND	Asia	India	5/5/2020	49400	1693
IND	Asia	India	5/6/2020	52987	1785
IND	Asia	India	5/7/2020	56351	1889
IND	Asia	India	5/8/2020	59695	1985
IND	Asia	India	5/9/2020	62808	2101
IND	Asia	India	5/10/2020	67161	2212
IND	Asia	India	5/11/2020	70768	2294
IND	Asia	India	5/12/2020	74292	2415
IND	Asia	India	5/13/2020	78055	2551
IND	Asia	India	5/14/2020	81997	2649
IND	Asia	India	5/15/2020	85784	2753
IND	Asia	India	5/16/2020	90648	2871
IND	Asia	India	5/17/2020	95698	3025
IND	Asia	India	5/18/2020	100328	3156
IND	Asia	India	5/19/2020	106475	3302
IND	Asia	India	5/20/2020	112028	3434
IND	Asia	India	5/21/2020	118226	3584
IND	Asia	India	5/22/2020	124794	3726
IND	Asia	India	5/23/2020	131423	3868
IND	Asia	India	5/24/2020	138536	4024
IND	Asia	India	5/25/2020	144950	4172
IND	Asia	India	5/26/2020	150793	4344
IND	Asia	India	5/27/2020	158086	4534
IND	Asia	India	5/28/2020	165386	4711
IND	Asia	India	5/29/2020	173491	4980
IND	Asia	India	5/30/2020	181827	5185
IND	Asia	India	5/31/2020	190609	5408
IND	Asia	India	6/1/2020	198370	5608
IND	Asia	India	6/2/2020	207191	5829
IND	Asia	India	6/3/2020	216824	6088
IND	Asia	India	6/4/2020	226713	6363
IND	Asia	India	6/5/2020	236184	6649
IND	Asia	India	6/6/2020	246622	6946
IND	Asia	India	6/7/2020	257486	7207
IND	Asia	India	6/8/2020	265928	7473
IND	Asia	India	6/9/2020	276146	7750
IND	Asia	India	6/10/2020	286605	8102
IND	Asia	India	6/11/2020	297535	8498
IND	Asia	India	6/12/2020	308993	8884
IND	Asia	India	6/13/2020	320922	9195
IND	Asia	India	6/14/2020	332424	9520
IND	Asia	India	6/15/2020	343091	9900
IND	Asia	India	6/16/2020	354065	11903
IND	Asia	India	6/17/2020	366946	12237
IND	Asia	India	6/18/2020	380532	12573
IND	Asia	India	6/19/2020	395048	12948
IND	Asia	India	6/20/2020	410451	13254
IND	Asia	India	6/21/2020	425282	13699
IND	Asia	India	6/22/2020	440215	14011
IND	Asia	India	6/23/2020	456183	14476
IND	Asia	India	6/24/2020	473105	14894
IND	Asia	India	6/25/2020	490401	15301
IND	Asia	India	6/26/2020	508953	15685
IND	Asia	India	6/27/2020	528859	16095
IND	Asia	India	6/28/2020	548318	16475
IND	Asia	India	6/29/2020	566840	16893
IND	Asia	India	6/30/2020	585481	17400
IND	Asia	India	7/1/2020	604641	17834
IND	Asia	India	7/2/2020	625544	18213
IND	Asia	India	7/3/2020	648315	18655
IND	Asia	India	7/4/2020	673165	19268
IND	Asia	India	7/5/2020	697413	19693
IND	Asia	India	7/6/2020	719664	20159
IND	Asia	India	7/7/2020	742417	20642
IND	Asia	India	7/8/2020	767296	21129
IND	Asia	India	7/9/2020	793802	21604
IND	Asia	India	7/10/2020	820916	22123
IND	Asia	India	7/11/2020	849522	22673
IND	Asia	India	7/12/2020	878254	23174
IND	Asia	India	7/13/2020	906752	23727
IND	Asia	India	7/14/2020	936181	24309
IND	Asia	India	7/15/2020	968857	24914
IND	Asia	India	7/16/2020	1003832	25602
IND	Asia	India	7/17/2020	1039084	26273
IND	Asia	India	7/18/2020	1077781	26816
IND	Asia	India	7/19/2020	1118206	27497
IND	Asia	India	7/20/2020	1155338	28082
IND	Asia	India	7/21/2020	1193078	28732
IND	Asia	India	7/22/2020	1238798	29861
IND	Asia	India	7/23/2020	1288108	30601
IND	Asia	India	7/24/2020	1337024	31358
IND	Asia	India	7/25/2020	1385635	32060
IND	Asia	India	7/26/2020	1435616	32771
IND	Asia	India	7/27/2020	1480073	33408
IND	Asia	India	7/28/2020	1531669	34193
IND	Asia	India	7/29/2020	1581963	34955
IND	Asia	India	7/30/2020	1634746	35718
IND	Asia	India	7/31/2020	1695988	36511
IND	Asia	India	8/1/2020	1750723	37364
IND	Asia	India	8/2/2020	1803695	38135
IND	Asia	India	8/3/2020	1855745	38938
IND	Asia	India	8/4/2020	1908254	39795
IND	Asia	India	8/5/2020	1964536	40699
IND	Asia	India	8/6/2020	2027074	41585
IND	Asia	India	8/7/2020	2088611	42518
IND	Asia	India	8/8/2020	2153010	43379
IND	Asia	India	8/9/2020	2215074	44386
IND	Asia	India	8/10/2020	2268675	45257
IND	Asia	India	8/11/2020	2329638	46091
IND	Asia	India	8/12/2020	2396637	47033
IND	Asia	India	8/13/2020	2461190	48040
IND	Asia	India	8/14/2020	2525922	49036
IND	Asia	India	8/15/2020	2589952	49980
IND	Asia	India	8/16/2020	2647663	50921
IND	Asia	India	8/17/2020	2702681	51797
IND	Asia	India	8/18/2020	2767253	52888
